"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","367245","367245","Dylan Birse","0","68","0","Running","-00.000","0","","1:36.561","1:34.353","3","21","29","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","0","729","0","Running","-00.038","0","","1:36.135","1:34.391","17","22","9","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","255919","255919","Alexander Thiebe","0","54","0","Running","-00.046","0","","1:34.829","1:34.399","14","14","16","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","220235","220235","Justin Tipton","0","2","0","Running","-00.156","0","","1:36.672","1:34.509","24","25","31","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","0","28","0","Running","-00.209","0","","1:35.321","1:34.562","22","22","30","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","232715","232715","Anders Myhre","0","20","0","Running","-00.352","0","","1:36.475","1:34.706","8","25","24","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342918","342918","Espen Erlandsen","0","14","0","Running","-00.373","0","","1:35.829","1:34.726","23","23","11","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","291217","291217","Kieran Harrison","0","9","0","Running","-00.482","0","","1:35.481","1:34.836","19","19","23","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","421524","421524","Quentiin Vialatte","0","991","0","Running","-00.508","0","","1:35.069","1:34.861","11","12","25","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin �stlund","0","44","0","Running","-00.550","0","","1:35.830","1:34.904","17","18","18","","100","0"
