"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","1","729","0","Running","-00.000","9","","2:21.002","2:20.681","6","9","7","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","367245","367245","Dylan Birse","4","68","0","Running","-07.284","0","","2:21.811","2:21.174","9","9","14","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","323777","323777","Rasmus Busk","2","222","0","Running","-10.304","0","","2:22.147","2:21.192","5","9","16","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331632","331632","Pascal Costa","10","801","0","Running","-11.332","0","","2:22.260","2:21.542","5","9","12","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","421524","421524","Quentiin Vialatte","3","991","0","Running","-12.213","0","","2:22.359","2:21.128","6","9","18","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","329240","329240","Kirill Kolobuxov","7","555","0","Running","-14.659","0","","2:22.630","2:22.276","5","9","12","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","84986","84986","Oscar Wilkens","8","33","0","Running","-17.810","0","","2:22.980","2:22.343","6","9","13","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","5","119","0","Running","-19.070","0","","2:23.120","2:21.968","5","9","11","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341052","341052","Justin Rehm","15","912","0","Running","-19.858","0","","2:23.207","2:21.959","3","9","13","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","404419","404419","Thomas Guldalian","6","3","0","Running","-34.522","0","","2:24.837","2:22.201","8","9","18","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","174512","174512","Ryan Parkins","9","225","0","Running","-36.706","0","","2:25.079","2:22.910","3","9","11","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","334613","334613","Dane Baird","17","36","0","Running","-37.889","0","","2:25.210","2:23.561","2","9","19","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341072","341072","Ivan Harasta","12","63","0","Running","-48.658","0","","2:26.407","2:24.785","4","9","19","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","346133","346133","Tristan Martz","13","18","0","Running","-48.756","0","","2:26.418","2:23.627","3","9","9","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","318258","318258","Cl�ment Andrieu","16","37","0","Running","-1:01.697","0","","2:27.855","2:24.968","8","9","14","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","282802","282802","Ross Yost","11","66","0","Running","-1:17.798","0","","2:30.689","2:22.645","7","9","7","","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","425868","425868","Mark Jones12","14","77","0","Running","-00.000","0","","2:29.712","2:30.628","5","8","8","","100","0"
