"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","220235","220235","Justin Tipton","0","2","0","Running","-00.000","0","","1:56.630","1:55.816","10","14","26","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","266853","266853","Jonathon White","0","777","0","Running","-00.066","0","","1:56.557","1:55.882","13","13","26","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","302270","302270","Tim Matzke","0","8","0","Running","-00.150","0","","1:57.272","1:55.966","11","15","15","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","255667","255667","Diogo Francisco","0","48","0","Running","-00.261","0","","1:56.884","1:56.077","18","18","13","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","0","729","0","Running","-00.334","0","","1:57.198","1:56.150","2","13","12","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin �stlund","0","44","0","Running","-00.369","0","","1:56.939","1:56.185","15","18","22","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","291217","291217","Kieran Harrison","0","9","0","Running","-00.410","0","","1:57.067","1:56.227","15","15","13","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","232715","232715","Anders Myhre","0","20","0","Running","-00.411","0","","1:57.130","1:56.227","14","20","7","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","367245","367245","Dylan Birse","0","68","0","Running","-00.580","0","","1:58.465","1:56.396","16","18","38","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342918","342918","Espen Erlandsen","0","14","0","Running","-00.766","0","","1:58.760","1:56.583","16","16","13","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","0","28","0","Running","-00.785","0","","1:57.432","1:56.601","13","13","14","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","0","119","0","Running","-00.911","0","","1:58.146","1:56.727","7","22","24","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","260613","260613","Alan Powell","0","26","0","Running","-00.999","0","","1:57.510","1:56.816","8","11","15","","100","0"
