Fin Pos,Car ID,Car,Car Class ID,Car Class,Team ID,Cust ID,Name,Start Pos,Car #,Out ID,Out,Interval,Laps Led,Qualify Time,Average Lap Time,Fastest Lap Time,Fast Lap#,Laps Comp,Inc,League Points,Max Fuel Fill%,Weight Penalty (KG)
1,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,220235,220235,Justin Tipton,1,2,0,Running,0,13,,1:38.204,1:36.394,9,13,4,0,100,0
2,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,260613,260613,Alan Powell,12,26,0,Running,-6.536,0,,1:38.706,1:36.959,3,13,0,0,100,0
3,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,229161,229161,Martin Donati,2,17,0,Running,-7.166,0,,1:38.026,1:37.507,12,13,2,0,100,0
4,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,334613,334613,Dane Baird,5,36,0,Running,-31.677,0,,1:40.641,1:37.630,4,13,8,0,100,0
5,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,425868,425868,Mark Jones12,4,77,0,Running,-36.769,0,,1:41.033,1:38.322,7,13,3,0,100,0
6,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,416184,416184,Jacob Robotham,7,7,0,Running,-47.886,0,,1:41.887,1:39.720,4,13,8,0,100,0
7,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,276814,276814,Karsten van Eijck,10,911,0,Running,-52.764,0,,1:42.736,1:38.066,9,13,3,0,100,0
8,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,424647,424647,Martin Spalek,3,906,29,Disqualified,0,0,,0,,,7,5,0,100,0
9,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,32807,32807,Ivo Laubscher,9,46,0,Running,0,0,,0,,,3,4,0,100,0
10,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,397377,397377,Josua Ali-Keskikyl�,6,83,32,Disconnected,0,0,,0,,,1,8,0,100,0
11,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,318258,318258,Cl�ment Andrieu,8,37,34,DQ/Scoring Invalidated,0,0,,1:59.313,,,1,6,10,100,0
12,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,341052,341052,Justin Rehm,11,912,32,Disconnected,0,0,,0,,,0,0,0,100,0
