"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","255919","255919","Alexander Thiebe","1","54","0","Running","-00.000","9","","2:20.686","2:19.998","3","9","6","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","75474","75474","Brian Lockwood","2","143","0","Running","-06.464","0","","2:21.404","2:22.280","9","9","15","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","3","28","0","Running","-12.466","0","","2:22.071","2:21.151","5","9","16","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","291217","291217","Kieran Harrison","5","9","0","Running","-13.411","0","","2:22.176","2:21.275","8","9","13","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin �stlund","4","44","0","Running","-15.804","0","","2:22.442","2:21.962","4","9","13","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","109748","109748","Alexander Lauritzen","6","148","0","Running","-16.483","0","","2:22.517","2:22.009","3","9","11","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","310532","310532","Lewis Ward","9","97","0","Running","-17.382","0","","2:22.617","2:21.718","7","9","14","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","138514","138514","Artem Grabow","7","43","0","Running","-18.428","0","","2:22.733","2:21.831","6","9","7","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","365706","365706","Michael Pedersen3","16","199","0","Running","-26.278","0","","2:23.604","2:22.527","8","9","17","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","466380","466380","Gavin Halls","8","38","0","Running","-28.269","0","","2:23.826","2:22.640","7","9","13","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331615","331615","Hugo Gallo","13","23","0","Running","-30.132","0","","2:24.033","","","9","16","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229161","229161","Martin Donati","14","17","0","Running","-34.136","0","","2:24.478","2:22.986","5","9","2","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","427539","427539","Matias Birk","12","12","0","Running","-36.951","0","","2:24.791","2:22.755","3","9","3","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342188","342188","Tobias Maisel","11","15","0","Running","-37.745","0","","2:24.879","2:22.432","4","9","10","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","276814","276814","Karsten van Eijck","10","911","0","Running","-50.364","0","","2:26.281","2:22.621","7","9","11","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","354110","354110","Hendryk Lichtenhagen","17","55","0","Running","-1:05.812","0","","2:24.255","2:22.385","4","9","14","","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","416184","416184","Jacob Robotham","15","7","0","Running","-00.000","0","","2:33.308","","","2","5","","100","0"
