"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","255919","255919","Alexander Thiebe","0","54","0","Running","-00.000","0","1:43.884","1:43.991","1:43.884","2","3","1","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","0","729","0","Running","-00.029","0","1:43.913","1:44.204","1:43.913","3","4","2","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","75474","75474","Brian Lockwood","0","143","0","Running","-00.134","0","1:44.018","1:44.123","1:44.018","4","4","3","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","255667","255667","Diogo Francisco","0","48","0","Running","-00.149","0","1:44.033","1:44.266","1:44.033","2","4","0","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","367245","367245","Dylan Birse","0","68","0","Running","-00.181","0","1:44.065","1:44.232","1:44.065","3","3","0","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","291217","291217","Kieran Harrison","0","9","0","Running","-00.335","0","1:44.219","1:44.478","1:44.219","3","3","0","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","220235","220235","Justin Tipton","0","2","0","Running","-00.393","0","1:44.277","1:47.329","1:44.277","2","3","4","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin �stlund","0","44","0","Running","-00.465","0","1:44.349","1:44.733","1:44.349","2","4","4","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","421524","421524","Quentiin Vialatte","0","991","0","Running","-00.623","0","1:44.507","1:44.854","1:44.507","2","3","0","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","232715","232715","Anders Myhre","0","20","0","Running","-00.681","0","1:44.565","1:44.770","1:44.565","3","3","3","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","0","28","0","Running","-00.717","0","1:44.601","1:49.450","1:44.601","2","3","3","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342918","342918","Espen Erlandsen","0","14","0","Running","-00.748","0","1:44.632","1:45.543","1:44.632","2","3","0","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","260613","260613","Alan Powell","0","26","0","Running","-00.797","0","1:44.681","1:44.971","1:44.681","2","3","0","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","266853","266853","Jonathon White","0","777","0","Running","-00.845","0","1:44.729","1:45.087","1:44.729","3","3","3","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","32807","32807","Ivo Laubscher","0","46","0","Running","-01.030","0","1:44.914","1:45.083","1:44.914","3","3","2","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341052","341052","Justin Rehm","0","912","0","Running","-01.077","0","1:44.961","1:45.305","1:44.961","4","4","3","","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331615","331615","Hugo Gallo","0","23","0","Running","-01.114","0","1:44.998","1:45.184","1:44.998","4","4","3","","100","0"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","138514","138514","Artem Grabow","0","43","0","Running","-01.133","0","1:45.017","1:45.188","1:45.017","4","4","0","","100","0"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","365706","365706","Michael Pedersen3","0","199","0","Running","-01.152","0","1:45.036","1:45.207","1:45.036","4","4","3","","100","0"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","0","119","0","Running","-01.260","0","1:45.144","1:45.145","1:45.144","1","3","4","","100","0"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","174512","174512","Ryan Parkins","0","225","0","Running","-01.283","0","1:45.167","1:46.056","1:45.167","2","3","0","","100","0"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","310532","310532","Lewis Ward","0","97","0","Running","-01.295","0","1:45.179","1:45.576","1:45.179","2","3","3","","100","0"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","404419","404419","Thomas Guldalian","0","3","0","Running","-01.406","0","1:45.290","1:48.556","1:45.290","2","4","3","","100","0"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342188","342188","Tobias Maisel","0","15","0","Running","-01.549","0","1:45.433","1:45.612","1:45.433","2","3","2","","100","0"
"25","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","329240","329240","Kirill Kolobuxov","0","555","0","Running","-01.610","0","1:45.494","1:45.607","1:45.494","2","4","2","","100","0"
"26","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229161","229161","Martin Donati","0","17","0","Running","-01.701","0","1:45.585","1:46.079","1:45.585","4","4","1","","100","0"
"27","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","466380","466380","Gavin Halls","0","38","0","Running","-01.895","0","1:45.779","1:46.042","1:45.779","2","4","0","","100","0"
"28","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","84986","84986","Oscar Wilkens","0","33","0","Running","-01.913","0","1:45.797","1:45.797","1:45.797","1","2","4","","100","0"
"29","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","276814","276814","Karsten van Eijck","0","911","0","Running","-01.983","0","1:45.867","1:46.077","1:45.867","4","4","3","","100","0"
"30","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","318258","318258","Cl�ment Andrieu","0","37","0","Running","-02.046","0","1:45.930","1:45.992","1:45.930","3","3","2","","100","0"
"31","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","424647","424647","Martin Spalek","0","906","0","Running","-02.352","0","1:46.236","1:46.599","1:46.236","2","4","2","","100","0"
"32","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","345510","345510","Nelson Costa De Sousa","0","919","0","Running","-02.409","0","1:46.293","1:46.293","1:46.293","1","1","4","","100","0"
"33","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341072","341072","Ivan Harasta","0","63","0","Running","-02.438","0","1:46.322","1:48.187","1:46.322","4","4","4","","100","0"
"34","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","315629","315629","Freddie Skitini","0","6","0","Running","-02.485","0","1:46.369","1:46.559","1:46.369","2","3","2","","100","0"
"35","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","425868","425868","Mark Jones12","0","77","0","Running","-02.600","0","1:46.484","1:46.694","1:46.484","4","4","4","","100","0"
"36","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","381704","381704","Rolf Andersen","0","92","0","Running","-02.888","0","1:46.772","1:46.772","1:46.772","1","3","3","","100","0"
"37","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","316142","316142","Airijus Jomantas","0","71","0","Running","-03.063","0","1:46.947","1:46.947","1:46.947","1","2","4","","100","0"
"38","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","346133","346133","Tristan Martz","0","18","0","Running","-03.084","0","1:46.968","1:47.668","1:46.968","3","3","0","","100","0"
"39","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","289099","289099","Carl Wahlqvist","0","24","0","Running","-03.616","0","1:47.500","1:47.500","1:47.500","2","3","3","","100","0"
"40","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","416184","416184","Jacob Robotham","0","7","0","Running","-03.636","0","1:47.520","1:48.090","1:47.520","3","3","1","","100","0"
"41","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","328174","328174","Tom Metherell","0","117","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
"42","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","449337","449337","Jack M Wilson","0","29","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
"43","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","354110","354110","Hendryk Lichtenhagen","0","55","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
"44","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","334613","334613","Dane Baird","0","36","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
