"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","0","729","0","Running","-00.000","0","","2:10.943","2:08.256","18","19","8","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","232715","232715","Anders Myhre","0","20","0","Running","18 L","0","","2:09.694","2:08.540","34","37","28","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin �stlund","0","44","0","Running","14 L","0","","2:10.177","2:08.904","26","33","26","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","421524","421524","Quentiin Vialatte","0","991","0","Running","14 L","0","","2:10.171","2:09.035","33","33","40","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","0","28","0","Running","13 L","0","","2:09.972","2:09.139","24","32","41","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","291217","291217","Kieran Harrison","0","9","0","Running","3 L","0","","2:10.787","2:09.179","19","22","34","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","404419","404419","Thomas Guldalian","0","3","0","Running","-01.325","0","","2:11.884","2:09.582","8","19","31","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","32807","32807","Ivo Laubscher","0","46","0","Running","6 L","0","","2:10.699","2:09.680","4","25","49","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","389360","389360","Josh Clogg","0","13","0","Running","12 L","0","","2:11.486","2:09.695","31","31","26","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","0","119","0","Running","-3 L","0","","2:11.429","2:09.848","4","16","19","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","310532","310532","Lewis Ward","0","97","0","Running","-10 L","0","","2:10.475","2:10.008","3","9","18","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","302270","302270","Tim Matzke","0","8","0","Running","-14 L","0","","2:10.749","2:10.225","4","5","7","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","289099","289099","Carl Wahlqvist","0","24","0","Running","13 L","0","","2:11.163","2:10.241","10","32","22","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","328174","328174","Tom Metherell","0","117","0","Running","-02.097","0","","2:12.666","2:10.353","15","19","33","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342188","342188","Tobias Maisel","0","15","0","Running","-4 L","0","","2:11.828","2:10.840","15","15","16","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","424647","424647","Martin Spalek","0","906","0","Running","6 L","0","","2:13.033","2:11.098","21","25","23","","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","334613","334613","Dane Baird","0","36","0","Running","-13 L","0","","2:16.345","2:11.822","1","6","26","","100","0"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","416184","416184","Jacob Robotham","0","7","0","Running","-9 L","0","","2:12.939","2:12.180","8","10","21","","100","0"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341072","341072","Ivan Harasta","0","63","0","Running","-11 L","0","","2:16.205","2:13.245","5","8","40","","100","0"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341052","341052","Justin Rehm","0","912","0","Running","-19 L","0","","00.000","","","0","0","","100","0"
