"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","0","729","0","Running","-00.000","0","","2:10.412","2:08.214","29","29","10","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","291217","291217","Kieran Harrison","0","9","0","Running","1 L","0","","2:10.305","2:08.581","30","30","24","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","421524","421524","Quentiin Vialatte","0","991","0","Running","-11 L","0","","2:09.647","2:08.690","2","18","31","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","32807","32807","Ivo Laubscher","0","46","0","Running","-9 L","0","","2:10.342","2:08.777","19","20","25","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","365706","365706","Michael Pedersen3","0","199","0","Running","-7 L","0","","2:09.880","2:08.940","12","22","49","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","0","28","0","Running","-4 L","0","","2:09.471","2:08.950","25","25","35","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","466380","466380","Gavin Halls","0","38","0","Running","6 L","0","","2:10.449","2:09.151","35","35","16","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341052","341052","Justin Rehm","0","912","0","Running","-7 L","0","","2:09.910","2:09.249","22","22","21","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","449337","449337","Jack M Wilson","0","29","0","Running","-7 L","0","","2:13.033","2:09.257","22","22","40","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","404419","404419","Thomas Guldalian","0","3","0","Running","-9 L","0","","2:12.195","2:09.612","2","20","21","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","310532","310532","Lewis Ward","0","97","0","Running","-14 L","0","","2:10.165","2:09.816","9","15","11","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","289099","289099","Carl Wahlqvist","0","24","0","Running","7 L","0","","2:10.976","2:09.833","21","36","24","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","389360","389360","Josh Clogg","0","13","0","Running","-20 L","0","","2:10.437","2:10.033","9","9","9","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","0","119","0","Running","-21 L","0","","2:10.679","2:10.091","1","8","6","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","424647","424647","Martin Spalek","0","906","0","Running","2 L","0","","2:12.492","2:10.376","31","31","26","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342188","342188","Tobias Maisel","0","15","0","Running","-15 L","0","","2:11.042","2:10.557","14","14","31","","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","315629","315629","Freddie Skitini","0","6","0","Running","-13 L","0","","2:12.117","2:10.568","13","16","21","","100","0"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","416184","416184","Jacob Robotham","0","7","0","Running","7 L","0","","2:12.723","2:11.126","34","36","37","","100","0"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","389637","389637","Yvo de Brouwer","0","95","0","Running","-20 L","0","","2:12.704","2:11.187","6","9","4","","100","0"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","346133","346133","Tristan Martz","0","18","0","Running","-7 L","0","","2:12.043","2:11.339","11","22","4","","100","0"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","354110","354110","Hendryk Lichtenhagen","0","55","0","Running","-27 L","0","","2:11.985","2:11.985","2","2","8","","100","0"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","381704","381704","Rolf Andersen","0","92","0","Running","-29 L","0","","00.000","","","0","3","","100","0"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","426005","426005","Louie Eggertsen","0","27","0","Running","-29 L","0","","00.000","","","0","9","","100","0"
