"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","291217","291217","Kieran Harrison","0","9","0","Running","-00.000","0","","2:21.553","2:20.509","33","33","80","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","0","729","0","Running","-16 L","0","","2:21.051","2:20.516","12","17","21","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","84986","84986","Oscar Wilkens","0","33","0","Running","-11 L","0","","2:22.484","2:20.806","7","22","47","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331632","331632","Pascal Costa","0","801","0","Running","1 L","0","","2:22.193","2:20.951","19","34","95","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","0","119","0","Running","-5 L","0","","2:23.512","2:21.392","2","28","103","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341052","341052","Justin Rehm","0","912","0","Running","-23 L","0","","2:22.846","2:22.001","6","10","25","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","138514","138514","Artem Grabow","0","43","0","Running","-26 L","0","","2:23.780","2:22.499","6","7","23","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","276814","276814","Karsten van Eijck","0","911","0","Running","-26 L","0","","2:23.407","2:23.073","3","7","10","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","416184","416184","Jacob Robotham","0","7","0","Running","-25 L","0","","2:26.576","2:24.715","6","8","10","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","323777","323777","Rasmus Busk","0","222","0","Running","-33 L","0","","00.000","","","0","1","","100","0"
