"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","255919","255919","Alexander Thiebe","1","54","0","Running","-00.000","13","","1:38.970","1:37.982","3","13","0","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","2","729","0","Running","-02.124","0","","1:39.133","1:38.226","4","13","0","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","220235","220235","Justin Tipton","3","2","0","Running","-09.104","0","","1:39.731","1:38.565","3","13","0","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","75474","75474","Brian Lockwood","17","143","0","Running","-12.314","0","","1:39.916","1:38.247","3","13","5","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin �stlund","4","44","0","Running","-18.037","0","","1:40.357","1:38.747","4","13","1","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341052","341052","Justin Rehm","5","912","0","Running","-19.146","0","","1:40.442","1:38.898","4","13","3","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","260613","260613","Alan Powell","9","26","0","Running","-22.712","0","","1:40.716","1:38.972","3","13","0","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331632","331632","Pascal Costa","7","801","0","Running","-26.249","0","","1:40.988","1:38.873","4","13","3","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342188","342188","Tobias Maisel","12","15","0","Running","-27.385","0","","1:41.075","1:39.790","6","13","0","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","354110","354110","Hendryk Lichtenhagen","18","55","0","Running","-29.096","0","","1:41.206","1:39.939","6","13","0","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","365706","365706","Michael Pedersen3","11","199","0","Running","-29.583","0","","1:41.244","1:39.256","3","13","11","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","310532","310532","Lewis Ward","8","97","0","Running","-30.459","0","","1:41.312","1:39.394","5","13","8","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","282802","282802","Ross Yost","14","66","0","Running","-34.213","0","","1:40.344","1:39.739","4","13","2","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","466380","466380","Gavin Halls","10","38","0","Running","-34.644","0","","1:41.634","1:39.136","3","13","2","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331615","331615","Hugo Gallo","13","23","0","Running","-38.363","0","","1:41.920","1:39.448","7","13","2","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","323777","323777","Rasmus Busk","6","222","0","Running","-41.225","0","","1:41.306","1:39.080","7","13","0","","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","424647","424647","Martin Spalek","16","906","0","Running","-44.457","0","","1:42.388","1:40.466","8","13","0","","100","0"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","276814","276814","Karsten van Eijck","15","911","0","Running","-1:01.814","0","","1:43.723","1:40.341","4","13","6","","100","0"
