"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","2","28","0","Running","-00.000","13","","1:39.485","1:38.483","5","13","0","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","291217","291217","Kieran Harrison","3","9","0","Running","-00.660","0","","1:39.536","1:38.512","5","13","2","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","421524","421524","Quentiin Vialatte","4","991","0","Running","-03.049","0","","1:39.720","1:38.588","4","13","1","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","367245","367245","Dylan Birse","1","68","0","Running","-08.321","0","","1:40.125","1:38.656","5","13","8","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","66921","66921","Jordan Weekes","6","959","0","Running","-09.610","0","","1:40.224","1:39.055","5","13","4","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","84986","84986","Oscar Wilkens","9","33","0","Running","-14.413","0","","1:40.593","1:39.310","5","13","1","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","8","119","0","Running","-19.724","0","","1:41.002","1:39.658","6","13","1","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","174512","174512","Ryan Parkins","12","225","0","Running","-19.790","0","","1:41.007","1:39.515","7","13","1","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","404419","404419","Thomas Guldalian","10","3","0","Running","-20.996","0","","1:41.100","1:39.180","4","13","4","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","329240","329240","Kirill Kolobuxov","13","555","0","Running","-22.616","0","","1:41.224","1:39.626","8","13","7","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229161","229161","Martin Donati","14","17","0","Running","-28.860","0","","1:41.704","1:40.134","10","13","1","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","138514","138514","Artem Grabow","7","43","0","Running","-30.753","0","","1:41.851","1:39.500","8","13","4","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","334613","334613","Dane Baird","18","36","0","Running","-59.174","0","","1:44.036","1:40.716","5","13","13","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341072","341072","Ivan Harasta","15","63","0","Running","-59.330","0","","1:44.048","1:40.362","4","13","8","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","32807","32807","Ivo Laubscher","11","46","32","Disconnected","-00.000","0","","1:41.559","1:39.753","6","8","7","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","318258","318258","Cl�ment Andrieu","17","37","0","Running","-00.000","0","","1:44.074","1:40.946","5","7","4","","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","416184","416184","Jacob Robotham","16","7","0","Running","-00.000","0","","2:11.461","","","2","5","","100","0"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342918","342918","Espen Erlandsen","5","14","32","Disconnected","-00.000","0","","00.000","","","0","0","","100","0"
