"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","255919","255919","Alexander Thiebe","1","54","0","Running","-00.000","13","","1:36.129","1:35.433","7","13","1","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","367245","367245","Dylan Birse","3","68","0","Running","-10.503","0","","1:36.936","1:36.138","5","13","2","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin �stlund","4","44","0","Running","-12.337","0","","1:37.077","1:36.344","9","13","0","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","174512","174512","Ryan Parkins","7","225","0","Running","-12.639","0","","1:37.100","1:36.194","6","13","0","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","421524","421524","Quentiin Vialatte","6","991","0","Running","-12.989","0","","1:36.952","1:36.044","8","13","0","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","2","28","0","Running","-16.662","0","","1:36.611","1:35.771","5","13","0","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","138514","138514","Artem Grabow","9","43","0","Running","-25.385","0","","1:38.048","1:36.865","4","13","0","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342188","342188","Tobias Maisel","10","15","0","Running","-31.604","0","","1:38.559","1:37.142","5","13","0","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","8","119","0","Running","-37.170","0","","1:37.885","1:37.182","6","13","2","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","346133","346133","Tristan Martz","13","18","0","Running","-42.003","0","","1:39.359","1:38.053","4","13","0","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","220235","220235","Justin Tipton","5","2","0","Running","-42.697","0","","1:37.749","1:36.429","10","13","3","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","424647","424647","Martin Spalek","12","906","0","Running","-49.508","0","","1:39.936","1:38.294","9","13","1","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","334613","334613","Dane Baird","16","36","0","Running","-58.797","0","","1:40.650","1:38.051","4","13","8","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","416184","416184","Jacob Robotham","14","7","0","Running","-1:17.161","0","","1:42.063","1:38.830","9","13","5","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","32807","32807","Ivo Laubscher","11","46","0","Running","-00.000","0","","1:40.986","1:37.329","2","5","0","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341052","341052","Justin Rehm","15","912","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
