"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","0","729","0","Running","-00.000","0","1:34.397","1:36.257","1:34.397","2","5","0","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","255919","255919","Alexander Thiebe","0","54","0","Running","-00.028","0","1:34.426","1:34.576","1:34.426","4","4","4","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","367245","367245","Dylan Birse","0","68","0","Running","-00.128","0","1:34.526","1:34.701","1:34.526","3","5","0","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","220235","220235","Justin Tipton","0","2","0","Running","-00.266","0","1:34.664","1:34.894","1:34.664","4","5","0","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","232715","232715","Anders Myhre","0","20","0","Running","-00.413","0","1:34.811","1:35.347","1:34.811","3","5","0","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","291217","291217","Kieran Harrison","0","9","0","Running","-00.432","0","1:34.830","1:34.994","1:34.830","3","4","3","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","421524","421524","Quentiin Vialatte","0","991","0","Running","-00.437","0","1:34.835","1:35.023","1:34.835","4","4","0","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342918","342918","Espen Erlandsen","0","14","0","Running","-00.555","0","1:34.953","1:35.696","1:34.953","3","4","1","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","0","28","0","Running","-00.601","0","1:34.999","1:34.999","1:34.999","3","4","7","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin �stlund","0","44","0","Running","-00.647","0","1:35.045","1:35.295","1:35.045","4","5","1","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","466380","466380","Gavin Halls","0","38","0","Running","-00.734","0","1:35.132","1:35.476","1:35.132","2","4","0","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","0","119","0","Running","-00.758","0","1:35.156","1:35.698","1:35.156","4","5","1","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","138514","138514","Artem Grabow","0","43","0","Running","-00.814","0","1:35.212","1:35.325","1:35.212","4","5","3","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","329240","329240","Kirill Kolobuxov","0","555","0","Running","-00.856","0","1:35.254","1:35.412","1:35.254","5","5","2","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","310532","310532","Lewis Ward","0","97","0","Running","-00.871","0","1:35.269","1:35.520","1:35.269","4","4","0","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","365706","365706","Michael Pedersen3","0","199","0","Running","-00.875","0","1:35.273","1:35.273","1:35.273","2","3","6","","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","174512","174512","Ryan Parkins","0","225","0","Running","-00.904","0","1:35.302","1:35.823","1:35.302","3","3","1","","100","0"
