"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","255919","255919","Alexander Thiebe","1","54","0","Running","-00.000","10","","2:09.639","2:08.605","3","10","1","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","367245","367245","Dylan Birse","2","68","0","Running","-06.441","0","","2:10.283","2:08.942","3","10","2","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","220235","220235","Justin Tipton","3","2","0","Running","-07.185","0","","2:10.357","2:09.044","4","10","4","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","4","28","0","Running","-07.390","0","","2:10.378","2:08.978","5","10","6","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","421524","421524","Quentiin Vialatte","6","991","0","Running","-11.368","0","","2:10.775","2:09.769","5","10","4","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","174512","174512","Ryan Parkins","7","225","0","Running","-20.826","0","","2:11.721","2:10.255","3","10","0","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331615","331615","Hugo Gallo","11","23","0","Running","-25.420","0","","2:12.180","2:10.396","4","10","1","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342918","342918","Espen Erlandsen","22","14","0","Running","-26.324","0","","2:12.269","2:10.130","9","10","2","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","289099","289099","Carl Wahlqvist","16","24","0","Running","-28.329","0","","2:12.470","2:10.655","2","10","1","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","302270","302270","Tim Matzke","5","8","0","Running","-31.147","0","","2:12.753","2:10.126","4","10","2","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","346133","346133","Tristan Martz","17","18","0","Running","-34.089","0","","2:13.046","2:10.680","3","10","0","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","318258","318258","Cl�ment Andrieu","23","37","0","Running","-35.883","0","","2:13.225","2:10.797","4","10","4","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","8","119","0","Running","-37.497","0","","2:13.388","2:09.964","4","10","4","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","389360","389360","Josh Clogg","13","13","0","Running","-39.765","0","","2:13.614","2:10.343","6","10","5","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","466380","466380","Gavin Halls","10","38","0","Running","-40.207","0","","2:13.659","2:10.141","3","10","6","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","316142","316142","Airijus Jomantas","20","71","0","Running","-42.027","0","","2:13.840","2:11.538","8","10","6","","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","334613","334613","Dane Baird","25","36","0","Running","-43.772","0","","2:14.014","2:11.398","6","10","2","","100","0"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341072","341072","Ivan Harasta","21","63","0","Running","-47.385","0","","2:14.375","2:10.941","4","10","2","","100","0"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","424647","424647","Martin Spalek","15","906","0","Running","-47.566","0","","2:14.394","2:11.705","4","10","7","","100","0"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","389637","389637","Yvo de Brouwer","19","95","0","Running","-1:00.654","0","","2:15.703","2:12.270","2","10","4","","100","0"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","404419","404419","Thomas Guldalian","12","3","0","Running","-1:09.794","0","","2:14.035","2:10.233","4","10","3","","100","0"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229161","229161","Martin Donati","18","17","0","Running","-1:16.080","0","","2:17.245","2:10.675","4","10","4","","100","0"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","449337","449337","Jack M Wilson","24","29","0","Running","-1:30.467","0","","2:18.683","2:10.715","6","10","6","","100","0"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341052","341052","Justin Rehm","9","912","0","Running","-00.000","0","","2:15.511","2:11.033","5","6","6","","100","0"
"25","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","383295","383295","Kevin Zwemstra","14","25","0","Running","-00.000","0","","00.000","","","1","2","","100","0"
